anio	trimestre	aglomerado_origen	localidad_destino	viajantes
2014	1	Paraná	Santa Fe	23564
2014	1	Paraná	Santa Rosa	275
2014	1	Paraná	Vicente López	278
2014	1	Paraná	Victoria	4420
2014	1	Paraná	Villa Carlos Paz	1367
2014	1	Paraná	Villa General Belgrano	542
2014	1	Paraná	Villa Urquiza	42710
2014	1	Paraná	Villaguay	731
2014	2	Concordia	Chajarí	556
2014	2	Concordia	Concepción del Uruguay	29652
2014	2	Concordia	Córdoba	556
2014	2	Concordia	Federación	30090
2014	2	Concordia	Martínez	2656
2014	2	Concordia	Nueva Escocia	10371
2014	2	Concordia	Paraná	4625
2014	2	Concordia	Puerto Yeruá	20332
2014	2	Concordia	Rosario	1710
2014	2	Concordia	San Juan	279
2014	2	Paraná	Basavilbaso	5772
2014	2	Paraná	Cerrito	2066
2014	2	Paraná	Ciudad de Buenos Aires	6478
2014	2	Paraná	Concordia	828
2014	2	Paraná	Crespo	1334
2014	2	Paraná	Córdoba	11360
2014	2	Paraná	Diamante	14746
2014	2	Paraná	Franck	861
2014	2	Paraná	Gualeguaychú	16290
2014	2	Paraná	La Paz	1808
2014	2	Paraná	La Picada	2208
2014	2	Paraná	Libertador San Martín	554
2014	2	Paraná	Mar del Plata	552
2014	2	Paraná	María Grande	1176
2014	2	Paraná	Oro Verde	2466
2014	2	Paraná	Resistencia	298
2014	2	Paraná	Rosario	12690
2014	2	Paraná	Río Cuarto	1104
2014	2	Paraná	San José del Rincón	562
2014	2	Paraná	San Luis	287
2014	2	Paraná	Santa Elena	3306
2014	2	Paraná	Santa Fe	3133
2014	2	Paraná	Santiago del Estero	490
2014	2	Paraná	Santo Tomé	668
2014	2	Paraná	Viale	1306
2014	2	Paraná	Victoria	2820
2014	2	Paraná	Villa Carlos Paz	840
2014	2	Paraná	Villa Urquiza	1092
2014	2	Paraná	Villaguay	1104
2014	3	Concordia	Capilla del Señor	318
2014	3	Concordia	Chajarí	9039
2014	3	Concordia	Ciudad de Buenos Aires	91793
2014	3	Concordia	Colón	6058
2014	3	Concordia	Corrientes	6740
2014	3	Concordia	Córdoba	556
2014	3	Concordia	Federación	3758
2014	3	Concordia	Olivos	280
2014	3	Concordia	Posadas (Municipio de Posadas)	278
2014	3	Concordia	Puerto Yeruá	888
2014	3	Concordia	Rosario	1465
2014	3	Concordia	Río Tercero	4866
2014	3	Concordia	San Rafael (Ciudad)	556
2014	3	Concordia	San Salvador	556
2014	3	Concordia	Sauce de Luna	834
2014	3	Concordia	Ushuaia	278
2014	3	Concordia	Villa Carlos Paz	558
2014	3	Concordia	Villaguay	6058
2014	3	Paraná	Cerrito	2168
2014	3	Paraná	Chajarí	1632
2014	3	Paraná	Ciudad de Buenos Aires	35814
2014	3	Paraná	Concepción del Uruguay	5160
2014	3	Paraná	Concordia	8328
2014	3	Paraná	Crespo	22657
2014	3	Paraná	Córdoba	13703
2014	3	Paraná	Diamante	4364
2014	3	Paraná	Esperanza	550
2014	3	Paraná	Esquel	1084
2014	3	Paraná	Franck	9802
2014	3	Paraná	General Racedo	419
2014	3	Paraná	Gualeguaychú	2580
2014	3	Paraná	La Paz	816
2014	3	Paraná	La Picada	3272
2014	3	Paraná	Libertador San Martín	1542
2014	3	Paraná	Lucas González	4368
2014	3	Paraná	María Grande	2620
2014	3	Paraná	Mendoza, Ciudad de	5096
2014	3	Paraná	Rosario	6401
2014	3	Paraná	Salta	1635
2014	3	Paraná	San Luis	418
2014	3	Paraná	San Miguel de Tucumán	1084
2014	3	Paraná	San Salvador de Jujuy	337
2014	3	Paraná	Santa Clara del Mar	552
2014	3	Paraná	Santa Fe	100604
2014	3	Paraná	Termas de Río Hondo	542
2014	3	Paraná	Viale	6834
2014	3	Paraná	Victoria	1395
2014	3	Paraná	Villa Urquiza	8748
2014	4	Concordia	Chajarí	28562
2014	4	Concordia	Ciudad de Buenos Aires	1223
2014	4	Concordia	Colón	41986
2014	4	Concordia	Concepción del Uruguay	1392
2014	4	Concordia	Concordia	556
2014	4	Concordia	Federación	7768
2014	4	Concordia	General Campos	2228
2014	4	Concordia	Gualeguaychú	2267
2014	4	Concordia	Mar del Plata	10284
2014	4	Concordia	Paraná	1803
