anio	trimestre	aglomerado_origen	localidad_destino	viajantes	geometry
2013	1	Paraná	Hernandarias	573	c(-59.9882684, -31.2300739)
2013	1	Paraná	La Cumbre	8032	c(-64.4938784, -30.9825899)
2013	1	Paraná	La Falda	426	c(-64.4829365, -31.0946192)
2013	1	Paraná	La Paz	16572	c(-59.6439325, -30.7422896)
2013	1	Paraná	La Paz	16572	c(-65.0482866, -32.2174729)
2013	1	Paraná	La Picada	284	c(-60.2966741, -31.7256604)
2013	1	Paraná	Mar del Plata	8540	c(-57.5482703, -37.9977225)
2013	1	Paraná	María Grande	53490	c(-59.9021724, -31.6647722)
2013	1	Paraná	Piedras Blancas	69560	c(-59.9011493185457, -31.1908228)
2013	1	Paraná	Puerto Iguazú	580	c(-54.5828753060462, -25.6346782)
2013	1	Paraná	Rosario	6440	c(-60.6615415, -32.9595004)
2013	1	Paraná	San Nicolás de los Arroyos	290	c(-60.2165909, -33.3277089)
2013	1	Paraná	Santa Fe	58655	c(-60.7019561, -31.6186951)
2013	1	Paraná	Santa Rosa de Calamuchita	292	c(-64.5396135, -32.0644855)
2013	1	Paraná	Sauce Montrull	2632	c(-60.3548036, -31.7448435)
2013	1	Paraná	Victoria	224	c(-60.1576895, -32.6217981)
2013	1	Paraná	Victoria	224	c(-58.5407091, -34.4541012)
2013	1	Paraná	Villa Urquiza	11516	c(-60.3770589, -31.6494738)
2013	2	Concordia	Chajarí	568	c(-57.9848989, -30.7565741)
2013	2	Concordia	Chivilcoy	309	c(-60.0190499, -34.8969591)
2013	2	Concordia	Ciudad de Buenos Aires	2616	c(-58.4370894, -34.6075682)
2013	2	Concordia	Colón	11672	c(-58.1356171, -32.2182804)
2013	2	Concordia	Concordia	279	c(-58.0173305, -31.3972539)
2013	2	Concordia	Concordia	279	c(-58.0173305, -31.3972539)
2013	2	Concordia	Corrientes	1577	c(-58.8311982, -27.4687004)
2013	2	Concordia	Crespo	1205	c(-60.3062469, -32.0307826)
2013	2	Concordia	Federación	4292	c(-57.9194395, -30.9856574)
2013	2	Concordia	Federal	2448	c(-58.7797943, -30.9558743)
2013	2	Concordia	Gualeguaychú	447	c(-58.5103466, -33.0078585)
2013	2	Concordia	Maciá	4168	c(-59.395944, -32.1721133)
2013	2	Concordia	Mendoza, Ciudad de	157	c(-68.8446177, -32.8894155)
2013	2	Concordia	Nogoyá	19452	c(-59.787777, -32.3985574)
2013	2	Concordia	Nueva Escocia	434	c(-58.0164701, -31.6496817)
2013	2	Concordia	Rosario	560	c(-60.6615415, -32.9595004)
2013	2	Concordia	Río Gallegos	156	c(-69.2632288545264, -51.64607595)
2013	2	Concordia	San Salvador	2656	c(-58.5051869, -31.6247717)
2013	2	Concordia	San Vicente	588	c(-61.9878158, -33.7329606)
2013	2	Concordia	Villa Carlos Paz	2483	c(-64.4936985, -31.4183774)
2013	2	Concordia	Villaguay	278	c(-59.0270174, -31.8676271)
2013	2	Paraná	Aldea San Francisco	882	c(-60.6342198, -31.9605627)
2013	2	Paraná	Cerrito	544	c(-60.0758114, -31.5804369)
2013	2	Paraná	Ciudad de Buenos Aires	8774	c(-58.4370894, -34.6075682)
2013	2	Paraná	Colón	2406	c(-58.1356171, -32.2182804)
2013	2	Paraná	Concepción del Uruguay	318	c(-58.2320232, -32.4851849)
2013	2	Paraná	Crespo	862	c(-60.3062469, -32.0307826)
2013	2	Paraná	Diamante	1252	c(-60.6426494, -32.0670391)
2013	2	Paraná	Don Cristóbal	8060	c(-59.9951248, -32.0713166)
2013	2	Paraná	Esperanza	1084	c(-60.9304048, -31.448994)
2013	2	Paraná	General Ramírez	886	c(-60.2017371, -32.1772159)
2013	2	Paraná	Guatimozín	1084	c(-62.4381621, -33.4642953)
2013	2	Paraná	La Paz	2553	c(-59.6439325, -30.7422896)
2013	2	Paraná	La Paz	2553	c(-65.0482866, -32.2174729)
2013	2	Paraná	Libertador San Martín	634	c(-60.4618956, -32.0735522)
2013	2	Paraná	Libertador San Martín	634	c(-58.5388435, -34.5762765)
2013	2	Paraná	María Grande	48452	c(-59.9021724, -31.6647722)
2013	2	Paraná	Mendoza, Ciudad de	272	c(-68.8446177, -32.8894155)
2013	2	Paraná	Pueblo Brugo	426	c(-60.0918469, -31.3874682)
2013	2	Paraná	Puerto Iguazú	314	c(-54.5828753060462, -25.6346782)
